feature,type,weighting,n_tasks,auc,best_threshold,precision_at_best,recall_at_best,f1_at_best
AU01+AU23,combo_2,weighted,795,0.39556075189878004,2.465774647887324,0.8,0.005148005148005148,0.010230179028132991
AU20+AU26,combo_2,weighted,795,0.39370275708303876,0.0541904761904761,0.6936363636363636,0.9819819819819819,0.8129994672349494
AU15+AU45,combo_2,weighted,795,0.3927474758460674,0.0010619469026548,0.6881143878462913,0.990990990990991,0.8122362869198312
AU05+AU15,combo_2,weighted,795,0.3911958235901898,0.0044827586206896,0.6917293233082706,0.9472329472329473,0.7995654535578489
AU04+AU15,combo_2,weighted,795,0.3909764895680389,0.0003296703296703,0.6873873873873874,0.9819819819819819,0.8086910439851616
AU26+AU45,combo_2,weighted,795,0.39053057081226095,0.001,0.6882196634189548,1.0,0.8153200419727177
AU02+AU26,combo_2,weighted,795,0.3884242391284645,0.0328571428571427,0.6898148148148148,0.9588159588159588,0.8023694130317718
AU04+AU26,combo_2,weighted,795,0.38041764098102127,0.075813953488372,0.687037037037037,0.954954954954955,0.7991383952611738
AU01+AU02,combo_2,weighted,795,0.37798321460293294,0.0001219512195121,0.6867219917012448,0.851994851994852,0.7604824813325675
AU15+AU26,combo_2,weighted,795,0.37714213207170955,0.0034374999999999996,0.6876663708961845,0.9974259974259975,0.8140756302521008
AU17+AU20,combo_2,weighted,795,0.3675131872314971,0.004010989010989,0.6882770870337478,0.9974259974259975,0.814503415659485
AU01+AU20,combo_2,weighted,795,0.3671288995232658,9.70873786407767e-05,0.6870503597122302,0.9832689832689833,0.8088935944944414
AU04+AU17,combo_2,weighted,795,0.3662588141461381,0.0005,0.687333923826395,0.9987129987129987,0.8142707240293809
AU01+AU26,combo_2,weighted,795,0.36541048090343864,0.00546875,0.6886877828054299,0.9794079794079794,0.8087141339001063
AU02+AU15,combo_2,weighted,795,0.3606866423767832,0.0013157894736842,0.6889089269612263,0.9832689832689833,0.8101802757158008
AU01+AU04,combo_2,weighted,795,0.35981655699965553,3.054302477183833,1.0,0.003861003861003861,0.007692307692307693
AU01+AU05,combo_2,weighted,795,0.35707216270596553,inf,0.0,0.0,0.0
AU01+AU45,combo_2,weighted,795,0.35664799608461584,0.0035820895522388,0.6875,0.9626769626769627,0.8021447721179625
